Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,19850.0,19850.0,19210.0,19850.0,17797.28515625,30572
2022-07-26,19640.0,19970.0,19430.0,19640.0,17609.00390625,9228
2022-07-27,19940.0,19940.0,19500.0,19940.0,17877.98046875,15354
2022-07-28,19930.0,19930.0,19930.0,19930.0,17869.015625,2836
2022-07-29,19600.0,20200.0,19400.0,19600.0,17573.140625,63070
2022-08-01,19270.0,19760.0,19160.0,19270.0,17277.267578125,59009
2022-08-02,19400.0,19680.0,19340.0,19400.0,17393.822265625,15290
2022-08-03,19580.0,19720.0,19400.0,19580.0,17555.208984375,17912
2022-08-04,19540.0,19550.0,19020.0,19540.0,17519.34375,16834
2022-08-05,19400.0,19400.0,19000.0,19400.0,17393.822265625,26444
2022-08-08,19990.0,20140.0,19480.0,19990.0,17922.810546875,147914
2022-08-09,19700.0,20140.0,19580.0,19700.0,17662.798828125,18116
2022-08-10,19610.0,20300.0,19200.0,19610.0,17582.10546875,46145
2022-08-11,19450.0,19500.0,19120.0,19450.0,17438.65234375,31108
2022-08-12,19000.0,19500.0,19000.0,19000.0,17035.185546875,26072
2022-08-15,19000.0,19000.0,19000.0,19000.0,17035.185546875,0
2022-08-16,19000.0,19000.0,19000.0,19000.0,17035.185546875,0
2022-08-17,18810.0,19090.0,18700.0,18810.0,16864.833984375,47297
2022-08-18,18770.0,18980.0,18600.0,18770.0,16828.970703125,30692
2022-08-19,18880.0,18880.0,18500.0,18880.0,16927.59765625,23149
2022-08-22,19190.0,19480.0,18900.0,19190.0,17205.5390625,57395
2022-08-23,19500.0,19800.0,18880.0,19500.0,17483.48046875,51131
2022-08-24,19400.0,19500.0,19040.0,19400.0,17393.822265625,17799
2022-08-25,19800.0,19800.0,19350.0,19800.0,17752.458984375,54589
2022-08-26,19800.0,19800.0,19800.0,19800.0,17752.458984375,5296
2022-08-29,19990.0,20000.0,19740.0,19990.0,17922.810546875,35981
2022-08-30,19980.0,19990.0,19320.0,19980.0,17913.845703125,214042
2022-08-31,19500.0,20000.0,19100.0,19500.0,17483.48046875,579904
2022-09-01,19500.0,19500.0,19500.0,19500.0,17483.48046875,10353
2022-09-02,19500.0,19770.0,19500.0,19500.0,17483.48046875,5270
2022-09-05,19700.0,19700.0,19500.0,19700.0,17662.798828125,2474
2022-09-06,19260.0,19780.0,19170.0,19260.0,17268.30078125,11313
2022-09-07,18960.0,19150.0,18540.0,18960.0,16999.322265625,11179
2022-09-08,18490.0,18810.0,18490.0,18490.0,16577.92578125,7587
2022-09-09,18510.0,19280.0,18490.0,18510.0,16595.857421875,19992
2022-09-12,18970.0,18970.0,18970.0,18970.0,17008.2890625,1153
2022-09-13,18510.0,18510.0,18510.0,18510.0,16595.857421875,4983
2022-09-14,18010.0,18800.0,18010.0,18010.0,16147.5634765625,10370
2022-09-15,17700.0,18000.0,17500.0,17700.0,15869.6220703125,20458
2022-09-16,16800.0,17200.0,16800.0,16800.0,15062.69140625,43146
2022-09-19,16690.0,17190.0,16680.0,16690.0,14964.06640625,288368
2022-09-20,17000.0,17270.0,16410.0,17000.0,15242.009765625,114744
2022-09-21,17510.0,17510.0,17210.0,17510.0,15699.26953125,19650
2022-09-22,17990.0,17990.0,17980.0,17990.0,16129.6318359375,9590
2022-09-23,17010.0,17850.0,17010.0,17010.0,15250.9755859375,15348
2022-09-26,16500.0,16600.0,16500.0,16500.0,14793.71484375,39520
2022-09-27,17100.0,17100.0,16750.0,17100.0,15331.6669921875,23768
2022-09-28,16800.0,17100.0,16500.0,16800.0,15062.69140625,18466
2022-09-29,17400.0,17400.0,17000.0,17400.0,15600.64453125,5193
2022-09-30,16700.0,16700.0,16700.0,16700.0,14973.033203125,3643
2022-10-03,17100.0,17370.0,17100.0,17100.0,15331.6669921875,4388
2022-10-04,17950.0,17950.0,17070.0,17950.0,16093.767578125,28609
2022-10-05,18270.0,18270.0,17060.0,18270.0,16380.677734375,29441
2022-10-06,17900.0,18270.0,17900.0,17900.0,16048.9375,2407
2022-10-07,17990.0,17990.0,17600.0,17990.0,16129.6318359375,17360
2022-10-10,17500.0,17500.0,17500.0,17500.0,15690.3037109375,892
2022-10-11,16850.0,17250.0,16150.0,16850.0,15107.5205078125,18392
2022-10-12,16500.0,16870.0,16500.0,16500.0,14793.71484375,17837
2022-10-13,16500.0,16500.0,16500.0,16500.0,14793.71484375,20478
2022-10-14,16000.0,16210.0,15850.0,16000.0,14345.4208984375,25230
2022-10-17,16000.0,16000.0,16000.0,16000.0,14345.4208984375,0
2022-10-18,16000.0,16000.0,15510.0,16000.0,14345.4208984375,29090
2022-10-19,15630.0,16290.0,15630.0,15630.0,14013.681640625,30448
2022-10-20,15630.0,16290.0,15630.0,15630.0,14013.681640625,30448
2022-10-21,16000.0,16000.0,15600.0,16000.0,14345.4208984375,16606
2022-10-24,15600.0,15990.0,15600.0,15600.0,13986.78515625,80360
2022-10-25,15700.0,15700.0,15600.0,15700.0,14076.4443359375,8737
2022-10-26,15750.0,16190.0,15480.0,15750.0,14121.2724609375,269998
2022-10-27,16410.0,16410.0,15650.0,16410.0,14713.0224609375,322155
2022-10-28,16000.0,16000.0,15750.0,16000.0,14345.4208984375,17364
2022-10-31,16100.0,16190.0,16000.0,16100.0,14435.0791015625,7576
2022-11-01,16000.0,16400.0,15500.0,16000.0,14345.4208984375,1093235
2022-11-02,15860.0,16300.0,15860.0,15860.0,14219.8984375,36017
2022-11-03,15350.0,15850.0,15350.0,15350.0,13762.6376953125,23717
2022-11-04,15950.0,15960.0,15350.0,15950.0,14300.5908203125,34152
2022-11-07,15950.0,15950.0,15950.0,15950.0,14300.5908203125,0
2022-11-08,15990.0,16000.0,15700.0,15990.0,14336.4541015625,11533
2022-11-09,16200.0,16200.0,15800.0,16200.0,14524.73828125,41928
2022-11-10,16500.0,16690.0,16100.0,16500.0,14793.71484375,126439
2022-11-11,16220.0,16500.0,14900.0,16220.0,14542.669921875,133820
2022-11-14,16220.0,16220.0,16220.0,16220.0,14542.669921875,0
2022-11-15,16800.0,16800.0,16450.0,16800.0,15062.69140625,103129
2022-11-16,16670.0,16900.0,16500.0,16670.0,14946.1357421875,24015
2022-11-17,16690.0,16800.0,16400.0,16690.0,14964.06640625,99041
2022-11-18,17000.0,17000.0,16780.0,17000.0,15242.009765625,94739
2022-11-21,17000.0,17000.0,16790.0,17000.0,15242.009765625,32725
2022-11-22,17000.0,17000.0,16790.0,17000.0,15242.009765625,32725
2022-11-23,16600.0,16600.0,16600.0,16600.0,14883.3740234375,1446008190
2022-11-24,16600.0,16600.0,16600.0,16600.0,14883.3740234375,0
2022-11-25,16600.0,16600.0,16600.0,16600.0,14883.3740234375,0
2022-11-28,16490.0,16500.0,16100.0,16470.0,14766.8173828125,54890
2022-11-29,16380.0,16400.0,16200.0,16400.0,14704.056640625,30860
2022-11-30,16350.0,16360.0,15820.0,15820.0,14184.0341796875,140651
2022-12-01,15820.0,16070.0,15800.0,15800.0,14166.103515625,247702
2022-12-02,15950.0,15980.0,15500.0,15820.0,14184.0341796875,59994
2022-12-05,16170.0,16170.0,15400.0,15820.0,14184.0341796875,107281
2022-12-06,15900.0,15900.0,15800.0,15800.0,14166.103515625,8442
2022-12-07,15890.0,15910.0,15890.0,15910.0,14264.7275390625,8758
2022-12-08,15910.0,15910.0,15910.0,15910.0,14264.7275390625,0
2022-12-09,15500.0,15900.0,15500.0,15900.0,14255.7607421875,10217
2022-12-12,15900.0,15900.0,15620.0,15740.0,14112.3076171875,33154
2022-12-13,15820.0,15830.0,14710.0,15800.0,14166.103515625,34342
2022-12-14,15460.0,15680.0,15460.0,15650.0,14031.6142578125,7666
2022-12-15,15570.0,15570.0,15440.0,15560.0,13950.9208984375,9130
2022-12-16,15140.0,15300.0,14850.0,15110.0,13547.4560546875,29034
2022-12-19,15410.0,15410.0,14900.0,14980.0,13430.900390625,27151
2022-12-20,14980.0,15000.0,14750.0,14750.0,13224.6845703125,28673
2022-12-21,14980.0,14980.0,14440.0,14740.0,13215.7177734375,29291
2022-12-22,14700.0,14700.0,14510.0,14510.0,13009.50390625,13540
2022-12-23,14750.0,14900.0,14630.0,14900.0,13359.1728515625,46120
2022-12-26,14750.0,14980.0,14750.0,14980.0,13430.900390625,11718
2022-12-27,14980.0,15000.0,14980.0,15000.0,13448.8310546875,27518
2022-12-28,14330.0,15000.0,14330.0,14860.0,13323.3095703125,81357
2022-12-29,15390.0,15390.0,15000.0,15000.0,13448.8310546875,14973
2022-12-30,15000.0,15000.0,15000.0,15000.0,13448.8310546875,0
2023-01-02,15318.16015625,15318.16015625,15318.16015625,15318.16015625,13734.0908203125,1047
2023-01-03,15400.0,15480.0,15000.0,15000.0,13448.8310546875,82180
2023-01-04,15000.0,15300.0,15000.0,15300.0,13717.80859375,22266
2023-01-05,15300.0,15500.0,15300.0,15300.0,13717.80859375,25540
2023-01-06,15500.0,15500.0,15300.0,15500.0,13897.1259765625,20169
2023-01-09,15500.0,15500.0,15500.0,15500.0,13897.1259765625,0
2023-01-10,15600.0,15850.0,15500.0,15800.0,14166.103515625,30754
2023-01-11,16140.0,16370.0,16000.0,16170.0,14497.83984375,95932
2023-01-12,16500.0,16890.0,16500.0,16890.0,15143.3837890625,91618
2023-01-13,16940.0,17480.0,16800.0,16990.0,15233.04296875,53347
2023-01-16,16990.0,16990.0,16990.0,16990.0,15233.04296875,1629
2023-01-17,16880.0,16880.0,16880.0,16880.0,15134.4189453125,3557
2023-01-18,16990.0,17470.0,16400.0,17460.0,15654.439453125,56559
2023-01-19,17460.0,17480.0,17200.0,17480.0,15672.373046875,26592
2023-01-20,16840.0,17500.0,16840.0,17480.0,15672.373046875,18341
2023-01-23,17000.0,17260.0,16800.0,17260.0,15475.1220703125,97736
2023-01-24,17000.0,17090.0,16510.0,16970.0,15215.111328125,32942
2023-01-25,16700.0,16940.0,16430.0,16660.0,14937.1689453125,21967
2023-01-26,16530.0,16650.0,16330.0,16390.0,14695.08984375,27243
2023-01-27,16300.0,16450.0,15910.0,16390.0,14695.08984375,43628
2023-01-30,16490.0,16490.0,15820.0,16090.0,14426.11328125,17234
2023-01-31,16320.0,16320.0,15590.0,16000.0,14345.4208984375,67619
2023-02-01,16320.0,16320.0,15330.0,15800.0,14166.103515625,111819
2023-02-02,15380.0,15780.0,15180.0,15480.0,13879.1943359375,124612
2023-02-03,15580.0,15580.0,15080.0,15080.0,13520.5576171875,26081
2023-02-06,15150.0,15600.0,14950.0,15440.0,13843.3310546875,38487
2023-02-07,15460.0,15680.0,15160.0,15300.0,13717.80859375,25745
2023-02-08,15330.0,15420.0,15200.0,15200.0,13628.1494140625,21837
2023-02-09,15400.0,15400.0,14910.0,15000.0,13448.8310546875,28844
2023-02-10,14990.0,14990.0,14470.0,14590.0,13081.23046875,41430
2023-02-13,14354.3095703125,14354.3095703125,14354.3095703125,14354.3095703125,12869.912109375,638
2023-02-14,14480.0,14480.0,13710.0,13980.0,12534.3115234375,42607
2023-02-15,13610.0,13630.0,13200.0,13380.0,11996.3583984375,38280
2023-02-16,13390.0,13760.0,13000.0,13000.0,11655.6533203125,46460
2023-02-17,13000.0,13100.0,12800.0,12940.0,11601.8583984375,50169
2023-02-20,12934.0498046875,12934.0498046875,12934.0498046875,12934.0498046875,11596.5234375,1176
2023-02-21,13000.0,13000.0,12620.0,12620.0,11314.951171875,29057
2023-02-22,12750.0,12870.0,12620.0,12630.0,11323.9169921875,17431
2023-02-23,12600.0,12600.0,11800.0,12230.0,10965.28125,43111
2023-02-24,12010.0,12010.0,11700.0,11700.0,10490.0888671875,54439
2023-02-27,11700.0,11700.0,11220.0,11400.0,10221.1123046875,79074
